time,open,high,low,close
1595304000,1.26675,1.26675,1.26498,1.26551
1595307600,1.26551,1.26795,1.26546,1.26791
1595311200,1.26791,1.27009,1.26787,1.26926
1595314800,1.26926,1.27162,1.26723,1.26741
1595318400,1.26741,1.26962,1.26712,1.26953
1595322000,1.26953,1.26985,1.26821,1.26893
1595325600,1.26893,1.27121,1.2683,1.27015
1595329200,1.27015,1.27065,1.26876,1.26939
1595332800,1.26939,1.27159,1.26919,1.27047
1595336400,1.27047,1.27162,1.26734,1.2714
1595340000,1.2714,1.27525,1.27111,1.27474
1595343600,1.27474,1.27525,1.27294,1.27353
1595347200,1.27353,1.27483,1.27344,1.27431
1595350800,1.27431,1.27647,1.27365,1.27627
1595354400,1.27627,1.27681,1.27513,1.27581
1595358000,1.27581,1.27624,1.27309,1.27333
1595361600,1.27333,1.27376,1.27221,1.2731
1595365200,1.2731,1.27317,1.27146,1.27193
1595368800,1.27193,1.27311,1.27192,1.273
1595372400,1.273,1.27343,1.27218,1.27319
1595376000,1.27319,1.27409,1.27313,1.27325
1595379600,1.27325,1.27382,1.27238,1.27287
1595383200,1.27287,1.27291,1.27201,1.27284
1595386800,1.27284,1.27324,1.27209,1.27241
1595390400,1.27241,1.2726,1.27169,1.2719
1595394000,1.2719,1.2725,1.27134,1.27233
1595397600,1.27233,1.27292,1.27099,1.27105
1595401200,1.27105,1.27256,1.26612,1.26754
1595404800,1.26754,1.26765,1.26444,1.26561
1595408400,1.26561,1.26758,1.26443,1.26749
1595412000,1.26749,1.26916,1.26702,1.26916
1595415600,1.26916,1.27072,1.26824,1.26977
1595419200,1.26977,1.27298,1.26927,1.27146
1595422800,1.27146,1.27181,1.26918,1.27177
1595426400,1.27177,1.27402,1.2699,1.2733
1595430000,1.2733,1.2736,1.27181,1.27283
1595433600,1.27283,1.27378,1.27219,1.27371
1595437200,1.27371,1.27437,1.27281,1.27295
1595440800,1.27295,1.27394,1.27268,1.27377
1595444400,1.27377,1.27428,1.2733,1.27417
1595448000,1.27417,1.27433,1.27318,1.27335
1595451600,1.27335,1.27367,1.27161,1.27276
1595455200,1.27276,1.2739,1.27272,1.27345
1595458800,1.27345,1.27393,1.27271,1.27271
1595462400,1.27271,1.27395,1.27263,1.27291
1595466000,1.27291,1.27404,1.27251,1.27339
1595469600,1.27339,1.27347,1.27234,1.27246
1595473200,1.27246,1.27374,1.27233,1.27347
1595476800,1.27347,1.27457,1.27335,1.27412
1595480400,1.27412,1.27447,1.27337,1.27404
1595484000,1.27404,1.2754,1.27404,1.27454
1595487600,1.27454,1.27511,1.27092,1.27283
1595491200,1.27283,1.27342,1.26983,1.27191
1595494800,1.27191,1.27319,1.27149,1.2729
1595498400,1.2729,1.27336,1.27098,1.27106
1595502000,1.27106,1.2713,1.2684,1.26903
1595505600,1.26903,1.27046,1.26743,1.2675
1595509200,1.2675,1.27234,1.26732,1.27226
1595512800,1.27226,1.27545,1.27021,1.27456
1595516400,1.27456,1.27601,1.27322,1.27583
1595520000,1.27583,1.27592,1.27435,1.2745
1595523600,1.2745,1.2751,1.27326,1.27423
1595527200,1.27423,1.27438,1.27312,1.27431
1595530800,1.27431,1.27465,1.27286,1.27318
1595534400,1.27318,1.27419,1.27293,1.2741
1595538000,1.2741,1.2741,1.27253,1.27323
1595541600,1.27323,1.27426,1.27323,1.27418
1595545200,1.27418,1.2742,1.27286,1.27297
1595548800,1.27297,1.27601,1.27278,1.27586
1595552400,1.27586,1.27732,1.27476,1.27568
1595556000,1.27568,1.2757,1.27476,1.27546
1595559600,1.27546,1.27577,1.27365,1.27454
1595563200,1.27454,1.27454,1.2729,1.27328
1595566800,1.27328,1.27392,1.27241,1.2736
1595570400,1.2736,1.27537,1.27353,1.27485
1595574000,1.27485,1.27512,1.27184,1.27369
1595577600,1.27369,1.27464,1.27173,1.27285
1595581200,1.27285,1.2743,1.27227,1.2735
1595584800,1.2735,1.27453,1.27231,1.2731
1595588400,1.2731,1.27572,1.27309,1.27529
1595592000,1.27529,1.27672,1.27471,1.27611
1595595600,1.27611,1.27716,1.27518,1.27624
1595599200,1.27624,1.27949,1.27599,1.27888
1595602800,1.27888,1.27928,1.2781,1.27892
1595606400,1.27892,1.27916,1.27775,1.27851
1595610000,1.27851,1.27935,1.27779,1.27927
1595613600,1.27927,1.28038,1.27886,1.27888
1595617200,1.27888,1.27932,1.27848,1.27881
1595620800,1.27881,1.27995,1.27867,1.27906
1595797200,1.27902,1.27954,1.27769,1.27882
1595800800,1.27882,1.27956,1.27845,1.27928
1595804400,1.27928,1.28017,1.27856,1.27942
1595808000,1.27942,1.28215,1.27937,1.28171
1595811600,1.28171,1.2833,1.28145,1.28293
1595815200,1.28293,1.2852,1.2826,1.28471
1595818800,1.28471,1.28588,1.28416,1.28423
1595822400,1.28423,1.28459,1.28359,1.28379
1595826000,1.28379,1.28379,1.28212,1.28259
